theta1;theta2;theta3;theta4;theta5;theta6;theta7;theta8;y
10.807.465;-0.2961794;-0.55065294;-14.913.037;-0.10418183;12.278.062;0.38153334;-0.43661396;0.84313701
-0.58294314;15.372.192;0.30806873;-0.71466076;-11.169.628;-13.834.257;0.44021292;0.58954542;0.67608719
11.021.683;-0.4156529;0.3663851;-0.99468785;13.633.856;-0.30893064;0.2077899;-0.09327679;0.79824362
13.125.816;10.238.328;0.3126952;-13.042.225;-0.35551423;0.85537681;-11.261.984;-0.048272154;0.61030133
0.29528353;10.542.359;-0.41630666;-11.763.336;0.18153864;0.38998719;0.078535503;-0.77919414;0.92041084
-0.88605389;-0.040155654;-0.53914259;-0.59551888;0.63343319;11.523.684;0.47727886;13.839.427;10.491.978
-0.75860749;0.54634816;-10.162.864;0.22831987;-0.74596179;-0.062397;11.398.092;-0.42715073;0.65632625
-13.330.171;-0.40177372;0.11307523;14.874.427;0.71647136;0.58556681;-0.65823725;-0.58315903;0.8508007
-13.215.463;-13.282.256;-0.20812104;-13.453.002;0.0094838631;-0.98833819;-1.445.691;0.6152217;0.56687164
-0.16838622;0.66918077;-12.977.328;-0.41798555;-0.82593798;-13.996.147;-0.65167243;10.496.347;0.9722909
0.50783848;0.019532457;10.818.164;-0.48201362;11.583.591;0.92212123;-10.665.039;11.678.958;0.67129733
-0.46582943;15.563.726;-14.496.691;0.96450129;0.091534035;0.61493017;11.960.555;0.15328235;0.74028778
-0.34638542;10.541.931;-15.374.153;-0.24486934;-0.96788213;-0.70849805;-0.94693575;0.11047387;10.859.526
-0.3286291;-0.75837423;0.26137196;-0.032662991;-0.028269658;-1.090.543;0.15918613;0.053053787;0.93670767
-0.34940608;-0.55424426;0.93204424;0.81182301;-0.74765003;-0.7043778;-11.956.114;-0.53731586;0.81528186
-0.83134768;-0.36114236;0.88654707;0.37243966;0.61656147;-0.95653532;-10.146.978;14.112.506;0.49661776
13.435.969;-0.16270612;-0.37731198;15.407.209;-15.655.491;-0.95949491;-14.610.633;-0.13612692;10.441.904
0.06539235;-14.161.206;13.931.435;-12.526.084;-13.447.097;-0.43581815;-14.034.812;-0.80574082;0.65781711
-0.5082079;-0.033220632;0.27294043;-0.77759137;0.08222989;13.984.498;-12.312.467;13.199.411;0.83204989
0.54023879;0.86432927;0.58456567;0.047267912;-0.2630037;1.491.492;0.10685589;14.640.986;0.61397343
0.59060683;0.057540342;10.349.235;-0.3911389;-0.082344811;0.73848167;-10.641.127;-0.98981525;0.67411768
-11.038.137;-0.53001466;-10.393.235;14.820.139;14.731.192;-0.771135;0.54534877;-10.918.719;10.898.824
-0.69144538;-15.412.803;-0.65572537;-14.813.687;-0.17679064;-13.963.218;-14.905.262;-10.477.099;0.75551721
-0.37122672;12.750.445;-0.069251574;-0.24248554;0.62643745;-0.28361454;-0.21408066;-0.23347369;11.021.733
-0.004435147;0.86885318;-15.219.287;-0.80883851;10.571.799;-0.9134543;-0.93002049;-0.14316536;0.82370494
0.85670756;0.69275109;-0.2082695;-0.47737072;-0.8246787;0.53686607;-14.308.564;0.27972326;0.63425404
0.76486475;0.32517032;-0.65130494;0.45797369;0.33190292;0.45400091;0.48843089;14.862.526;0.79881508
-0.31530661;-12.336.932;-11.732.701;0.26183196;-11.761.116;-0.53532295;0.076333237;0.64376476;0.95547662
0.50868992;-0.16974608;0.62595919;-0.76151438;-0.0073710861;0.34849421;11.629.199;0.10922553;0.56323274
12.778.336;-0.35615352;-0.69762939;0.076342068;-13.637.306;12.134.053;13.472.536;10.633.981;0.81270169
0.62146766;-11.382.687;-0.63331298;13.113.286;0.83947365;-15.159.758;-13.091.433;0.011274308;0.6042104
-0.78865022;14.177.538;-0.37531995;12.281.534;0.14102498;-0.68952585;0.94381531;0.99173654;0.79963783
-0.46476296;-0.79179318;0.31558561;13.100.803;14.459.591;0.47433698;0.802689;-11.746.524;0.094393887
-12.716.537;0.11846831;10.389.267;-0.9028245;-11.266.343;-11.804.778;0.79512591;-0.61419337;0.70775132
-0.42815197;-0.67291606;0.26890224;0.12110483;-0.96439877;-1.133.274;-0.65400442;0.52550303;0.85573449
14.385.291;0.033265614;-13.118.858;-0.34323435;-11.736.478;0.53992565;0.58033119;11.125.288;0.45142666
-0.33898749;-0.10832007;-11.679.021;-0.77557316;0.56105711;-15.308.273;-10.188.332;-0.4877827;0.79247519
14.863.639;-15.532.217;-0.26026154;-0.59012879;-13.742.327;10.285.707;12.925.106;13.930.384;0.8211641
-0.62717966;-15.043.335;-11.186.619;-0.28651023;0.25979077;-0.99694157;-0.88726417;-14.937.037;11.136.525
-0.96520698;0.20376728;1.081.825;0.68404663;-0.51028525;-14.833.156;0.89142368;-0.21074002;0.61792941
0.95068794;0.38062497;-13.059.319;-14.573.384;0.1837691;-15.469.705;-0.097567608;-13.326.133;0.80768675
0.072023285;0.88120624;15.096.453;15.110.142;0.42166247;-0.11288048;0.092585356;-0.81714686;0.33078957
0.98217602;0.96556801;11.055.605;-1.018.591;-0.55193923;0.33973252;0.99371823;12.558.001;0.60730125
15.045.425;-11.661.298;-13.654.929;-0.92133495;0.68054565;-15.310.064;0.71577171;10.131.652;0.99583277
0.1664636;12.521.867;-0.50433052;0.033739027;-0.6081876;11.616.657;0.81679869;0.83500644;0.61381898
-14.053.551;-0.02765782;-0.26608931;15.651.546;0.93344509;-0.88308145;-0.82430992;0.45889035;10.111.786
-13.091.715;0.11072809;14.648.547;0.99801295;-0.70202008;-10.661.868;0.24672434;-0.039800751;0.61936281
0.47011708;11.841.621;-0.84818462;0.64046384;0.9704909;0.2432907;-0.20626836;0.22800855;10.779.619
0.15229649;0.22360979;11.085.473;11.793.625;-0.1085182;-13.669.092;15.660.314;-0.60325742;0.21029221
-0.75096936;0.86484934;-14.322.645;12.380.652;13.999.137;0.82341493;0.026598572;-10.280.176;0.97338199
13.772.186;-0.6262931;-11.865.229;13.943.177;0.96197209;0.41916869;0.9360504;0.86821479;1.011.331
-0.34202779;13.689.192;0.94055276;11.578.604;12.290.969;15.174.322;-0.89693223;-0.6118367;0.402115
0.65348751;15.414.942;-0.62401482;11.340.219;14.595.502;0.033578213;-13.785.068;-0.70669247;12.185.121
0.15658615;-0.82212662;-11.808.832;-0.53664755;11.039.432;-11.376.496;0.68153319;0.98146219;11.428.732
-0.91125081;-0.75764142;14.778.813;0.077153613;-0.27309256;-0.74380293;0.28148181;-10.679.859;0.616382
-0.12819545;-0.80436251;13.195.111;-0.75699734;0.00024656094;-0.69864924;-0.37381545;14.210.621;0.61089673
0.55169531;-0.6475404;0.52098863;0.59589432;10.023.571;10.755.268;0.46900153;14.040.003;0.38269019
15.030.822;-0.73449503;0.63725822;-0.20147888;13.966.973;-0.34563363;0.25280953;0.53000552;0.62184644
0.75550929;-13.404.613;0.7094721;0.3814075;0.31040636;-0.25965383;15.364.671;13.875.853;0.53149142
-0.47287564;-0.77286306;-13.881.732;14.668.091;-11.857.645;-0.32976737;-0.48902928;11.040.407;10.843.944
0.60856946;0.97621856;-15.596.794;0.58309689;11.202.199;-0.63070867;-0.70880357;13.652.306;0.66185549
-0.79873977;-12.331.699;-0.082528135;1.481.904;-0.029080688;-0.58692686;0.057665964;-0.7617865;0.73991117
-0.3939243;-0.80027432;15.335.835;-0.18645173;13.293.307;0.1212236;-15.602.744;-1.355.616;0.61571662
-13.499.137;-10.524.118;13.111.199;-15.263.102;-0.94620578;-1.488.587;-0.6572184;-10.090.073;0.42139187
0.58191009;-0.71850128;0.86097132;15.507.046;-0.13858223;0.96178835;-0.029903348;-0.068688105;0.33977913
0.38496808;0.43109179;0.16926579;0.039552043;-12.314.154;12.826.029;0.069249987;-14.764.793;0.62198833
-15.223.968;0.8469916;-14.328.567;-12.664.475;0.41434836;-0.90159994;14.952.515;0.25286455;12.928.892
13.499.854;0.83151528;14.268.249;-0.8930412;-0.9580082;-12.888.563;10.926.274;-0.68039855;0.37259327
0.62244787;14.731.201;0.86895113;11.863.044;-0.58145712;-0.52636521;11.798.007;-0.061106463;0.31285841
-0.022187586;-0.16275131;-0.80260129;-1.470.232;0.94497333;0.10480738;-0.82287628;0.28446672;11.034.458
0.94276373;0.96597145;0.67892975;-15.637.098;14.159.196;-0.93577069;-0.79074387;-0.47181291;0.43478632
-11.633.371;-0.66868862;0.50784107;1.293.073;-0.20283754;-0.68511899;-10.953.315;-0.37966675;10.795.296
10.664.414;-11.726.876;-0.42238374;-0.85929631;-0.46254589;-0.85777763;0.49694086;-0.48443772;0.92531962
0.89499714;0.99192817;0.99592805;-0.29164935;14.330.473;0.1001401;-14.097.889;10.634.206;0.54966685
0.27126088;-10.953.872;0.15707469;-0.86614212;-13.650.658;-0.83903902;-0.43056895;0.38969689;0.52891837
0.63060578;-0.43941592;10.165.053;0.88982385;0.38997374;0.88064131;-14.843.797;-0.58503726;0.51966349
-114.232;0.62098101;0.42437363;12.883.801;0.92638689;0.89553134;-0.58228891;0.46373188;0.70472543
-0.69983553;0.45697762;10.322.093;-11.946.366;0.05129465;-0.17518253;-0.46865483;-0.34973274;0.8158716
-0.012828168;-0.77115661;0.46700366;-0.33925723;13.127.943;-0.62039547;-0.70888699;-0.038252593;0.84134937
11.668.659;13.821.415;12.320.921;0.094458409;0.72897414;-0.040678511;-13.442.753;11.151.576;0.54213496
-14.477.704;0.71669028;15.353.355;10.581.937;-0.34303126;11.834.658;11.002.081;-0.28770045;0.7591455
-10.415.808;0.54737529;-0.65865651;0.50591412;-0.50378969;10.865.656;-0.21697521;-0.47037429;0.62464728
-0.89424581;11.532.516;0.93247536;-13.927.032;-0.60107865;-0.17020241;0.68678145;-13.335.383;0.5658644
-0.2100306;-0.92619292;-12.923.396;0.84390316;10.331.609;13.989.716;0.52443533;-0.65571073;0.57042338
11.659.075;0.06716264;0.62078325;-0.81045419;0.7527361;0.83627815;-11.243.506;0.17684235;0.80100179
12.937.099;0.97072787;0.27491308;0.64212476;0.042043906;-0.15864783;-0.28016041;0.24277152;0.92077752
0.41930274;0.73273089;-0.81867514;0.82005609;-0.22641099;0.81811072;0.59140829;-0.66797923;0.63537678
0.6288689;-0.035084987;0.70279198;0.51574838;-0.82087426;-0.7642231;-0.20010077;13.252.922;0.66744774
10.818.608;0.94604965;-0.56361286;0.52889537;14.412.957;-14.669.424;15.521.502;0.29473095;10.905.239
-0.70381443;0.65597618;-0.73948044;-15.626.689;-0.96486936;0.31788297;-0.79674318;-0.74850029;0.68420967
-0.9128562;1.143.047;-0.30724166;-0.062423134;0.34202192;-11.900.365;-13.946.716;-11.074.071;0.83066285
1.164.419;0.35208126;0.96777703;0.14633993;-0.75213161;-15.646.918;-0.82253094;-13.968.735;0.53154659
14.087.869;-1.330.894;1.403.292;-0.3318942;0.69288156;0.49626973;-12.699.088;-0.13113646;0.56828265
-0.70263732;-0.19529853;11.920.588;13.226.517;-0.62358259;-0.1230962;0.62372761;13.874.828;0.53090696
0.021410361;0.58197642;0.9957215;-0.10190188;-0.19956464;14.316.844;-0.50476627;-0.61891187;0.31027944
-14.392.132;14.998.284;-0.1727839;-0.49697099;11.379.899;0.86171295;-1.306.614;-0.23856542;10.911.547
14.076.403;-0.52359719;-11.473.299;0.9034388;0.18000866;0.067482506;-0.52943788;-0.89672675;0.98745903
-11.229.809;-0.49688062;-0.077764075;0.77862907;0.051879229;0.06352329;-12.719.884;-10.665.724;0.92602982
0.74903343;-0.71922643;-0.078268748;-14.561.676;-14.285.547;-0.50556016;0.2282871;0.04605996;0.44181326
0.64306421;0.8098506;0.86446858;-0.80257801;14.737.403;10.584.802;0.93668796;12.979.614;0.72273517
0.9013946;-13.619.536;-0.74258256;10.703.098;0.83675771;-0.9618555;0.39371458;-0.38157529;12.818.063
0.97933137;-0.71084402;0.96256437;-0.062321357;-15.234.993;0.73040973;0.96677455;-11.452.527;0.38608928
0.81847253;0.3214346;-13.828.248;-12.846.922;-14.727.593;-1.347.823;0.26268494;0.27577973;0.62594613
-0.96633871;-11.880.992;0.36622319;0.34498992;-0.057165481;11.635.254;10.081.128;11.808.184;0.56568331
0.77926584;-0.41995031;0.73309239;-11.344.808;0.5471191;-10.435.057;0.74230154;0.5732416;0.75094238
-0.17874877;10.537.771;-0.24258521;-0.89255265;-0.01095116;13.121.626;0.59753043;-0.79311195;0.61829929
-0.86793498;-14.672.905;0.6576976;-0.027384563;12.978.254;-0.46415959;-0.97780991;-0.054916626;0.98370964
-0.96854259;0.75060253;-1.340.972;15.617.659;0.47293464;-0.55558662;-0.37994269;0.64450864;10.143.684
14.378.609;-12.593.881;0.069091076;0.59325832;0.38308408;-0.93094776;11.609.995;0.045306637;0.94335413
0.99766655;15.153.245;-11.755.646;-0.52243211;13.707.339;-13.075.305;0.48615072;12.032.187;10.141.691
11.017.046;-0.83243794;-0.23870051;0.23493441;0.6259459;-0.22475634;-0.54742046;0.064992146;10.116.019
-0.19741235;-12.724.181;-0.025718771;-0.43934012;-0.92107844;-12.854.634;1.229.283;-0.95123752;0.79591227
-0.38747835;-0.70933992;12.844.088;-1.246.598;12.032.035;-0.050110822;14.458.263;0.11608173;0.63792046
0.17290493;0.46808902;11.761.095;-0.29062584;-0.19049412;-0.26574598;-0.21640967;0.056641999;0.68790956
0.039939951;0.6242209;-0.028993478;0.62802977;-0.35168528;0.95200528;0.76697266;0.079499772;0.34611219
-10.300.738;1.502.751;-0.34651681;-0.45494955;-14.387.017;0.22128811;0.55484021;0.97578949;0.48331629
0.86594923;14.720.396;0.60480595;0.29940431;0.57965178;-0.45642045;0.95242903;0.9802618;0.98830248
-0.99008656;0.52807736;-12.203.038;-0.74319481;0.12862187;0.71080702;10.601.973;0.74818139;0.98162372
0.63143319;0.39693216;-13.289.163;0.097154291;0.33206102;-0.94332027;-0.37806825;-11.107.779;0.93773824
0.19769387;-15.039.268;-15.143.034;-0.75601521;14.810.094;12.343.575;12.488.329;-15.010.488;0.65760763
-11.641.338;0.75709536;-0.85454373;13.946.892;0.48657161;-12.306.873;0.15345288;-11.386.491;0.94132234
0.24162907;10.514.524;10.451.057;11.186.845;0.24339601;0.084149395;-0.16493223;13.071.932;0.59768046
-10.194.784;0.30139909;0.44618703;-0.70094367;0.4031279;0.58219119;-11.312.028;0.8385611;0.83769643
-0.12795695;13.671.623;0.08368815;0.21226854;-10.446.752;-11.737.744;0.79352223;0.51179708;0.6478175
14.185.152;0.28883499;-0.88676661;-12.518.898;0.50444666;-15.664.051;0.66725414;0.09282902;0.76407131
-0.56243519;0.68895476;-0.17085693;-12.651.734;-0.9235942;-0.023959438;-0.94540241;-11.942.124;0.52748335
0.20405552;-0.64786145;-0.17669078;-14.705.021;-0.23841679;-0.56240666;0.79731538;0.508405;0.82602338
-10.581.317;0.15279387;-0.83682855;0.17997807;-15.403.271;0.6836301;-15.546.119;-0.36926311;0.69977459
0.53688093;1.325.343;0.33278728;-0.46228964;-15.545.811;0.96680616;0.26330265;-15.595.269;0.79281676
0.70365999;11.485.237;11.208.877;-0.54333448;0.78093833;0.79389278;-11.763.593;-0.66099685;0.77162633
14.586.484;12.925.713;-13.708.243;0.7873094;-0.3436683;0.61199826;-10.282.056;-0.70240498;0.63807941
-14.848.087;0.13293518;0.99669475;-0.079201223;13.557.863;0.28044351;0.85036859;0.78464407;0.56007983
-15.089.746;0.5692327;0.47661877;0.90033756;0.72856082;10.251.018;10.398.914;-0.89312911;0.35920526
0.74134859;0.94429082;-0.52962897;-10.785.035;-10.063.873;0.39244062;0.77520703;-0.29119346;0.72669822
0.28932523;-0.63022003;-13.421.318;0.58053297;-0.017260458;15.465.467;0.71976114;0.51285089;0.74853893
-0.49631134;13.423.783;-0.57317713;-0.76907989;-1.069.988;-0.72730721;-12.478.114;-10.454.141;0.70772348
-0.57623935;-15.665.378;-12.649.937;-14.134.802;-0.81149372;0.084680118;13.064.444;0.65304409;0.90203247
0.67535616;0.88673239;1.549.404;0.36213367;-11.212.777;0.077279274;0.81922752;-10.127.021;0.31602572
0.13675056;-0.40428836;0.17146717;11.155.648;11.005.202;13.549.995;-0.84366486;0.66520177;0.72446789
-1.279.202;0.3905068;10.082.688;0.27258583;-12.544.677;0.071015627;-14.676.625;-0.88209374;0.72962804
15.118.795;0.46079001;0.22259639;0.90792107;-0.61038107;-0.24556827;0.78223005;-0.17381277;0.41428545
0.95751995;0.47181873;-0.45937537;0.71398793;-13.746.879;0.78677336;-0.62482812;0.40992938;0.47813335
-13.412.832;0.47749948;13.128.434;-0.8887579;-11.066.135;0.33633599;0.85803639;0.17037634;0.48489503
1.121.631;-14.355.183;15.536.064;0.91906837;-0.62541551;10.737.735;11.073.609;15.242.082;0.44810065
-14.456.599;0.67569286;-14.555.429;-0.42900327;0.41046228;-15.389.146;0.61949798;0.82132774;10.322.661
-0.12884884;-0.4874792;0.27187299;-0.30289649;-0.29790055;0.1950933;0.66442897;-0.10287164;0.81017456
-10.051.578;0.21067774;14.936.555;-14.012.809;0.88407123;-0.88960812;-13.041.421;-10.877.084;0.67812435
-13.436.986;0.28585967;-0.5992874;11.926.676;-11.480.196;-0.80431014;0.17525294;-0.18813207;0.7994381
13.665.495;0.94829384;-0.27723424;-13.375.527;0.8966458;0.2326099;-13.377.138;-1.493.498;0.96113359
-0.58682798;0.67507987;-0.49396452;0.98877678;-0.29401308;1.333.308;14.226.478;0.10441538;0.7060663
-13.585.405;-13.652.321;11.676.363;-0.65387691;0.24741984;-0.072141906;-0.22032092;-12.409.641;0.71041219
0.10596857;0.73705171;-10.654.304;-0.41813717;-10.834.356;0.16575832;10.040.073;0.15000099;0.58109674
-0.2693332;0.32826853;0.38897823;0.11140415;-0.63111788;-0.69260287;0.85571551;1.509.318;0.67425012
0.35195816;0.57247004;-0.097233933;-0.019720672;-11.814.632;-0.97558137;-0.20053343;-12.529.441;0.52175658
-0.25817207;-11.943.349;-0.58254004;1.563.489;11.552.351;-0.62394732;0.56348003;-0.13585548;11.455.384
-0.55860964;-1.551.516;-15.477.611;12.793.532;0.99339165;-0.046254754;-14.929.448;0.61483339;0.9831895
-14.733.502;-11.103.354;-0.83388541;10.287.471;15.101.453;-14.302.614;-0.022664045;0.80657332;11.028.939
-0.56325728;-0.34653755;-0.46720115;-11.737.036;0.085594558;10.644.243;-0.78190162;0.10546437;11.220.769
-10.464.361;0.25618313;-14.097.556;-0.37544719;-0.26170149;15.502.934;-0.13841803;0.68144417;0.81294526
-0.81661429;-14.537.181;0.13014361;1.318.701;-0.18728771;-0.58889013;15.282.838;-12.147.024;0.47725232
0.78186816;-0.47397398;0.77523785;-0.52911682;0.13131017;-14.595.731;0.20348145;-1.434.053;0.59815804
-0.42396646;0.9982779;1.237.864;0.98236449;15.319.844;-14.890.043;-12.816.912;0.17034222;0.57826649
-0.47216889;-11.896.237;11.532.191;15.305.517;-0.43218231;0.23130903;0.51639512;0.95078406;0.38426349
-0.079497134;-0.90991671;-14.727.678;0.6213168;-0.32581506;14.607.483;-11.677.654;-14.541.124;0.73514622
-0.93145865;0.3028886;-0.19996831;-0.18244707;-0.17765251;-0.75013769;-11.035.351;-0.81703178;0.87450839
-0.46933823;12.686.326;0.63673763;-0.19344794;-1.292.754;-0.35276207;0.84886881;0.048364602;0.38122592
0.37146941;-0.081696915;13.848.229;0.26893906;-0.062316411;-0.68682283;0.96589236;-0.80863095;0.24216368
0.9417221;-0.20406842;-13.410.063;-0.6929998;-12.015.626;-12.198.615;11.436.674;-0.13049774;0.32605453
0.17947208;0.84132118;-0.5076032;-13.637.322;-0.5055595;-0.17878157;13.534.589;-0.44391617;0.89220632
0.4582208;-0.22339976;12.785.819;0.81279647;10.696.429;-14.192.306;-0.6885993;0.38346926;0.52090966
12.734.462;-0.47662059;0.63204817;10.253.829;12.942.975;11.040.109;0.33896335;15.612.769;0.45544494
-0.86028674;0.49899324;11.088.854;-11.671.378;0.87120421;0.86441263;12.495.389;-13.423.658;0.34767865
-12.299.032;-14.729.992;11.098.824;0.018811904;-0.63417914;14.586.702;-0.5462189;-13.643.174;0.2826546
0.69662614;-0.94808085;-0.98441194;-11.291.834;0.77499136;-11.193.928;-0.56731286;0.40252124;0.50596105
-0.5203253;-0.2368898;-13.845.069;0.17498396;0.23660096;13.643.492;-0.093588384;13.254.553;10.335.746
10.866.408;-10.089.804;0.3699732;0.424685;-0.70393642;0.13281727;0.99794882;-0.10688157;0.35027612
109.346;0.38413554;0.92776513;-0.017748944;0.17855202;-14.125.991;-0.43734347;0.63245866;0.54272321
-0.5342966;0.193102;12.242.502;0.14480744;0.70283565;-0.53814976;0.89510795;-14.168.537;0.33667831
-12.512.027;0.20014506;-14.584.364;-0.95573826;0.17041532;-0.037684895;-10.078.711;0.21178346;11.346.922
0.85775229;-0.80769703;-12.347.231;-0.12961758;-0.96213383;12.316.888;0.17794644;0.020193974;0.66050683
-0.52596693;-0.14212368;13.690.973;-13.588.782;-0.80584756;10.397.137;-0.050456502;0.10811699;0.65662572
0.5156031;-10.622.253;13.942.861;0.71286431;-0.47409323;0.92991424;0.20759174;12.817.087;0.28312263
12.287.022;0.84984514;0.62635746;-0.92399114;-10.059.775;-0.35479367;-13.151.228;-0.22228226;0.35254832
11.099.521;-14.745.414;-0.28712872;-0.62664139;0.58745501;-0.27437501;0.97650162;-0.54433422;10.791.684
0.18842515;14.065.067;-0.28610519;-13.432.978;-0.6694091;0.43724046;0.38262716;-0.30746697;0.90253338
0.1361252;-13.271.286;12.084.355;-13.211.706;-0.71547082;0.51522167;-0.025470173;0.32256219;0.76035472
0.77672785;0.25699957;-0.22095097;-0.13702117;10.985.942;11.012.502;-0.82058891;-10.862.344;0.75336622
11.474.972;-0.29813328;-0.16038396;-0.12730828;0.93293472;-15.525.557;-0.046119188;-0.54743437;0.81175859
-0.2523241;0.1143219;-0.086712439;-0.24573959;0.1448515;0.26490436;0.84819124;0.99550728;0.90129914
0.33901652;-12.464.702;0.32302244;10.490.499;-0.21507151;0.61083115;-0.99724071;-0.63167645;0.67667338
-0.99835585;-12.856.766;0.36597943;0.7629068;12.662.864;-0.48559699;-0.22785697;-11.444.469;0.84040491
-0.12045949;-0.49189064;-0.22219244;13.349.624;13.263.221;0.42916786;0.0093479083;12.524.922;10.352.568
-13.770.548;14.659.571;0.96539756;-0.54098461;-1.245.686;-0.072579766;0.030661868;-11.758.422;0.37224771
-0.04647972;-11.693.929;-0.88927311;-0.55921688;-0.67184753;-0.91017206;0.1128267;13.798.628;0.90180941
10.719.191;-0.18358984;-14.568.398;0.88704377;-0.85745751;-0.84722571;-12.436.833;0.1170567;11.225.595
-12.902.713;-0.55050388;0.46587096;-14.540.745;-0.80288465;15.170.685;-15.690.579;0.73491011;0.51004661
0.82508237;-0.32835217;10.443.441;-0.18061503;-0.94188314;0.20422212;-0.62655979;-11.080.738;0.39695336
0.16937392;1.163.395;0.21299342;-0.81837474;0.25545619;-139.953;0.028253566;-0.035214222;0.71960727
0.38453552;-0.093597147;15.063.954;-0.53166909;-11.049.803;-0.79636057;0.47719012;-12.260.139;0.38622199
0.63246812;0.85067111;-0.10706203;-10.729.293;-14.502.818;-12.474.759;-0.35162963;0.091298917;0.71589102
-12.579.216;-0.15884435;0.74106475;0.018442;0.73109609;0.66138918;-0.50332838;13.636.873;0.86575905
10.294.224;0.65672406;-13.395.523;-10.629.862;0.76317788;10.131.797;0.86891182;-15.683.877;0.37276342
0.75156513;11.463.497;-1.202.325;0.62774039;-0.39210447;10.791.088;-14.633.103;12.121.617;0.78317133
-0.78895614;-0.68835433;-0.75161224;0.96460444;0.96162056;0.16722704;-14.681.697;-0.4261409;13.149.153
0.67670908;13.144.835;-0.0029012877;14.887.787;-15.374.333;-11.404.931;-14.594.809;0.68112193;11.319.948
0.88412517;0.84454611;15.035.407;-0.8826461;-0.042723321;-14.103.014;0.060337535;-0.34728;0.61023153
-0.24148717;0.57091962;-0.96268576;-0.032423555;1.373.866;0.380479;-0.64148179;0.34414837;12.261.887
0.26282583;10.221.459;-0.65747557;-14.471.648;-0.13957534;15.694.571;0.56153901;0.42951126;0.88576398
0.23449495;0.97812646;-12.104.813;-0.28796901;0.92697793;1.053.411;0.44182348;-0.58422444;0.69339175
-15.421.444;-0.58292746;0.39522196;12.990.811;0.56001729;-13.378.303;-0.99773642;1.558.414;0.56322656
-0.68117544;13.657.438;11.685.782;-0.41351445;-0.001058302;-0.53479349;0.86564946;0.80687339;0.66147934
-0.55195001;-15.616.964;-0.94325247;-0.73440311;10.626.742;-0.17756276;0.25494703;-11.343.813;124.753
0.49928833;0.57505471;-0.76766459;0.20443023;0.41031761;0.21574838;-0.23762756;0.77916003;10.477.904
0.34505269;14.054.685;0.38222161;-10.435.351;0.41225755;0.68511858;-0.84206542;11.844.962;0.84606743
-0.07951503;0.073239309;-0.55839083;0.81665543;-15.408.282;0.85094237;0.28136854;-0.44426237;0.45633034
-12.322.347;-0.57125179;-0.93735197;-0.090449701;-0.55209676;12.585.827;0.86413286;0.84810309;0.80378279
-0.7890341;-0.3216219;10.125.214;0.34272605;11.745.325;0.65594835;-0.10185474;0.66269881;0.60763009
-0.63354623;11.817.598;-0.55993954;-14.842.094;-1.400.192;0.67527431;0.29532901;10.330.172;0.52332711
-11.539.207;0.6883876;13.076.747;-0.86185026;0.64346162;-12.388.823;-0.12170961;14.786.055;0.53492682
-0.89374393;-0.75534452;-0.4936139;0.76647247;12.975.855;0.5815356;-0.39663316;0.92413132;13.362.288
-11.996.804;0.10057113;0.77730522;-15.686.797;-0.41702182;0.37408422;0.24610781;-0.15890126;0.86087325
-0.28726608;0.12221636;14.265.502;-0.55477327;0.0073997139;0.90652881;-11.435.716;-0.29972051;0.63877486
0.54689088;-0.51116567;-0.60635433;0.17261041;-12.967.139;-0.69463656;0.25607258;-14.296.267;0.38590464
-0.70504548;10.945.267;0.32929452;13.731.926;-0.64162817;-0.59844086;-0.17003747;-0.83611407;0.39393911
0.38813417;-14.564.177;-1.033.177;11.092.038;12.430.038;13.841.844;10.295.192;-0.22531104;0.43075666
14.245.909;1.278.275;-10.226.551;0.1777217;-0.42672711;0.49304807;-0.76279321;-11.834.629;0.67790827
10.223.025;-13.834.641;-0.11065075;-0.68600854;0.2534881;-0.8625614;0.57416486;-10.386.696;11.148.281
0.46803493;-0.95341201;0.11574193;-0.10056749;0.37477604;13.805.806;-0.98383152;0.91039715;0.96204402
-0.28494237;12.684.874;0.62877135;-0.061018663;-0.032426228;-0.38562193;-10.541.402;14.886.787;0.50505562
-12.392.065;0.62024904;-0.55766715;-13.814.721;-14.920.857;-0.042078423;-149.402;0.57887421;0.7304643
14.154.947;0.72115978;-13.408.947;11.097.622;-12.918.302;-0.35370092;0.75564611;-0.37360558;0.40652839
-10.613.427;0.26801357;13.676.428;0.13750908;-0.24320107;-0.7580068;-1.314.969;0.85477156;0.66706864
-0.024474132;-0.53972664;-10.601.331;-10.971.499;-0.26834467;-0.6620923;0.42038273;-0.35760072;10.205.381
0.21190791;-14.076.787;1.456.146;13.502.096;12.581.748;-0.26416128;-0.069409711;-0.32857687;0.34896355
-10.297.601;0.47918795;0.4394487;1.248.878;0.083688073;-0.68822387;-10.381.455;0.5284576;0.89957583
-0.14434975;-13.316.253;-0.070005004;0.91265843;-0.88806973;0.36558306;0.29349025;0.50441938;0.54273514
-0.77679117;0.080267538;1.523.151;-13.467.294;-0.081330244;-0.60075424;0.39009119;-13.819.746;0.59065664
0.92981116;13.132.577;-12.405.149;0.69449841;-0.32460348;0.20220143;-0.24119267;-10.520.401;0.67923165
10.543.803;-0.90815671;14.164.089;14.179.877;13.357.179;-0.80385788;-10.706.973;-0.75499708;0.31945712
-0.75363303;-15.326.659;-14.046.263;-0.0026690875;-0.41071329;15.506.265;-0.16721704;-0.34321269;0.87502814
